uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
York College,York,68467-2699,40.867453,-97.579285,0.407599309,21,970,402,26250,15000
South Carolina State University,Orangeburg,29117-0001,33.497439,-80.851185,0.845413947,17,810,2753,26245,19258
College of Charleston,Charleston,29424-0001,32.783142,-79.937251,0.780212899,25,1137,10069,26228,16250
Pennsylvania State University-Penn State Mont Alto,Mont Alto,17237-9700,39.841914,-77.544068,0.626517667,22,1089,837,26224,20950
University of Massachusetts-Amherst,Amherst,1003,42.386162,-72.52617,0.613872801,27,1217,21864,26207,21500
University of Cincinnati-Main Campus,Cincinnati,45221-0063,39.131159,-84.51428,0.757804542,26,1165,23795,26196,14650.5
Stillman College,Tuscaloosa,35401,33.199228,-87.585242,0.590095327,17,811,1056,26185,15575
University of Michigan-Ann Arbor,Ann Arbor,48109,42.276061,-83.743121,0.322384282,31,1380,28217,26143,19500
Stockton University,Galloway,08205-9441,39.492036,-74.531087,0.647542551,21,1078,7676,26132,18500
Clemson University,Clemson,29634,34.677329,-82.834463,0.515224513,29,1261,17083,26065,19500
University of Virginia-Main Campus,Charlottesville,22903-2628,38.037796,-78.505153,0.290029335,31,1357,15515,26063,17867
Oak Hills Christian College,Bemidji,56601-8834,47.425836,-94.901701,0.666666667,21,964,124,26034,9657
Livingstone College,Salisbury,28144,35.670743,-80.484459,0.642533937,15,720,1301,25920,15000
The University of Texas at Austin,Austin,78712,30.286598,-97.73924,0.396570839,29,1296,38914,25918,20500
Faith Baptist Bible College and Theological Seminary,Ankeny,50023-2152,41.736338,-93.624208,0.673333333,22,1004,232,25899,9750
Massachusetts College of Art and Design,Boston,02115-5882,42.33693,-71.099537,0.72936803,25,1077,1781,25838,23000
Dallas Christian College,Dallas,75234-7299,32.913698,-96.887124,0.37962963,22,996,309,25837,14090.5
Trinity Bible College,Ellendale,58436-7105,46.001037,-98.517906,0.36453202,20,946,212,25694,17656.5
Virginia Military Institute,Lexington,24450-0304,37.790644,-79.435737,0.444007859,26,1162,1700,25642,20750
University of Washington-Seattle Campus,Seattle,98195-4550,47.656213,-122.313115,0.57967328,28,1206,29468,25637,14000
Husson University,Bangor,04401-2999,44.828888,-68.791323,0.719534884,19,951,2292,25620,18500
Bellin College,Green Bay,54311,44.468277,-87.921722,0.486486486,23,1050,305,25605,15000
Christopher Newport University,Newport News,23606-3072,37.059919,-76.488408,0.5587836,25,1152,5084,25559,20341
Citadel Military College of South Carolina,Charleston,29409,32.796975,-79.961399,0.755428571,23,1073,2688,25442,19500
Lee University,Cleveland,37311,35.166166,-84.870018,0.890544413,24,1076,4117,25410,18034
Michigan Technological University,Houghton,49931-1295,47.1183,-88.546403,0.755038153,28,1244,5576,25360,20500
Rowan University,Glassboro,8028,39.709768,-75.117974,0.435658153,25,1103,11690,25341,18063.5
Blackburn College,Carlinville,62626,39.288298,-89.872248,0.651015228,21,989,578,25292,14000
Auburn University,Auburn,36849,32.604685,-85.482782,0.834650313,27,1215,20514,25282,17500
Mid-Atlantic Christian University,Elizabeth City,27909-4054,36.303765,-76.217496,0.378854626,23,983,195,25268,11000
University of Illinois at Chicago,Chicago,60607,41.872651,-87.651145,0.744794344,25,1125,16635,25146,15000
Southern Illinois University-Carbondale,Carbondale,62901-4512,37.713239,-89.218724,0.815253304,23,1055,13171,25105,15000
Winthrop University,Rock Hill,29733,34.939066,-81.028928,0.71183458,23,1053,4653,25095,20000
Western Illinois University,Macomb,61455,40.465621,-90.685235,0.696373348,21,970,9645,25074,17500
Ohio State University-Main Campus,Columbus,43210,39.998389,-83.009001,0.529629227,29,1292,43733,25029,16187.5
West Chester University of Pennsylvania,West Chester,19383,39.949084,-75.594631,0.534797984,24,1079,13610,24995,19500
Ohio University-Main Campus,Athens,45701-2979,39.326799,-82.101064,0.7427152,24,1106,23390,24990,13500
William Carey University,Hattiesburg,39401-5499,31.305264,-89.291815,0.504191617,24,1080,2039,24941,15500
University of Pittsburgh-Bradford,Bradford,16701,41.944173,-78.673039,0.574157567,22,1194,1466,24809,21500
Madonna University,Livonia,48150-1176,42.386463,-83.407306,0.585918854,23,1049,2841,24763,21061
Central Christian College of Kansas,McPherson,67460-5740,38.357964,-97.667373,0.496251874,21,966,985,24696,7500
Boise Bible College,Boise,83714-1220,43.657437,-116.290607,0.927536232,21,996,172,24678,13188
University of Pittsburgh-Johnstown,Johnstown,15904,40.268583,-78.832611,0.574157567,22,1194,2864,24609,21500
University of South Carolina-Columbia,Columbia,29208,33.998973,-81.026971,0.651527766,27,1192,24623,24586,19000
Pennsylvania State University-Penn State Greater Allegheny,McKeesport,15132-7644,40.344474,-79.827262,0.626517667,21,1089,554,24564,20950
University of Minnesota-Twin Cities,Minneapolis,55455-0213,44.977886,-93.235352,0.452536392,28,1268,30135,24551,17750
Nebraska Methodist College of Nursing & Allied Health,Omaha,68114-2852,41.265973,-96.048511,0.826086957,24,1090,742,24527,20000
Emmaus Bible College,Dubuque,52001-3096,42.509041,-90.705921,0.397590361,22,1018,216,24460,10750
University of Missouri-Kansas City,Kansas City,64110,39.035366,-94.578039,0.642607683,25,1129,8127,24436,15000
Georgia State University,Atlanta,30303-3083,33.7527,-84.38667,0.594415928,22,1055,24619,24377,16276
Michigan State University,East Lansing,48824-1046,42.73212,-84.476111,0.660925597,26,1158,38395,24323,22255.5
California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,35.29889,-120.65856,0.308887976,28,1234,19177,24218,16500
University of Massachusetts-Dartmouth,North Dartmouth,02747-2300,41.628861,-71.005528,0.768201285,22,1025,7185,24104,19000
Clarkson College,Omaha,68131-2739,41.259201,-95.977188,0.613445378,21,990,739,24048,20241
University of North Carolina at Chapel Hill,Chapel Hill,27599,35.912165,-79.050969,0.284980212,30,1328,17908,23978,15000
Appalachian Bible College,Mount Hope,25880,37.853339,-81.20115,0.691358025,22,1007,196,23948,6367.5
Maine Maritime Academy,Castine,04420-0001,44.3873,-68.803214,0.786335404,22,1024,1031,23940,27000
Kent State University at Kent,Kent,44242-0001,41.146856,-81.342253,0.843844961,23,1050,22530,23933,16000
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,17972-2202,40.642583,-76.166371,0.626517667,19,1089,755,23930,20950
Life Pacific College,San Dimas,91773-3298,34.089421,-117.830997,0.663265306,19,903,479,23926,15245
University of Wisconsin-Madison,Madison,53706-1380,43.073858,-89.405356,0.569384386,29,1286,29302,23839,20500
Eastern Illinois University,Charleston,61920,39.483017,-88.175505,0.497645212,22,1010,7525,23811,18724
University of Mary,Bismarck,58504,46.724893,-100.752386,0.786486486,23,1050,1928,23793,16212.5
Georgia College and State University,Milledgeville,31061,33.082787,-83.231962,0.762443439,25,1132,5827,23731,16250
SUNY at Purchase College,Purchase,10577-1400,41.047092,-73.700127,0.408195543,22,1095,3925,23719,18000
Indiana University-Bloomington,Bloomington,47405-7000,39.166383,-86.526904,0.760904241,27,1198,32252,23716,19000
Ohio Christian University,Circleville,43113-9487,39.610895,-82.905986,0.654028436,20,930,3306,23714,9500
SUNY College of Environmental Science and Forestry,Syracuse,13210,43.034355,-76.139236,0.511278195,27,1193,1718,23671,17417.5
University of Massachusetts-Lowell,Lowell,01854-5104,42.65372,-71.325081,0.620076645,25,1145,12190,23628,19336
California University of Pennsylvania,California,15419-1394,40.066473,-79.884477,0.896709026,20,934,6031,23500,18500
Longwood University,Farmville,23909,37.301073,-78.395789,0.729153059,21,1005,4400,23468,18612
Paul Quinn College,Dallas,75241,32.677195,-96.755864,0.899728997,22,1070,272,23459,9500
University of Oklahoma-Norman Campus,Norman,73019-3072,35.208152,-97.445692,0.813343924,26,1189,20538,23384,15000
Kutztown University of Pennsylvania,Kutztown,19530-0730,40.513705,-75.785426,0.796707408,20,960,8516,23383,18500
University of Mary Washington,Fredericksburg,22401-5300,38.302206,-77.474392,0.767241379,25,1114,4101,23371,16521
University of Delaware,Newark,19716,39.6795744,-75.7529169,0.67829642,27,1194,18222,23357,21000
University of Pittsburgh-Greensburg,Greensburg,15601-5860,40.292824,-79.535757,0.574157567,21,1194,1578,23352,21500
Oregon State University,Corvallis,97331,44.56274,-123.274721,0.777557382,25,1112,22925,23326,15833.5
Our Lady of the Lake College,Baton Rouge,70808,30.40019,-91.110471,0.726027397,22,1010,1551,23323,15833
Arizona State University-Downtown Phoenix,Phoenix,85004,33.45343,-112.073231,0.784430512,24,1135,9113,23298,15034.5
Kean University,Union,7083,40.679429,-74.234668,0.703567681,19,907,11938,23295,18750
Edward Waters College,Jacksonville,32209,30.34513,-81.684817,0.52952381,17,825,927,23235,11000
Wayland Baptist University,Plainview,79072,34.186673,-101.729564,0.97740113,20,946,3716,23229,11875
Georgia Institute of Technology-Main Campus,Atlanta,30332-0530,33.773732,-84.396019,0.333835574,32,1400,13996,23216,21460
George Mason University,Fairfax,22030-4444,38.83088,-77.30794,0.666474348,26,1152,21678,23212,16500
Bryan College of Health Sciences,Lincoln,68506-1299,40.796768,-96.651532,0.573033708,23,1050,588,23203,20499.5
Pennsylvania State University-Penn State Beaver,Monaca,15061-2764,40.678254,-80.296235,0.626517667,19,1089,665,23197,20950
University of Kentucky,Lexington,40506-0032,38.035818,-84.505653,0.722058326,25,1142,21725,23162,14559
Williams Baptist College,Walnut Ridge,72476,36.126825,-90.939876,0.704861111,21,983,508,23161,9500
Southwestern Christian University,Bethany,73008,35.513596,-97.639411,0.80875576,21,981,774,23156,10806
University of Minnesota-Duluth,Duluth,55812,46.818896,-92.085177,0.767829457,24,1110,9120,23153,18022
Shippensburg University of Pennsylvania,Shippensburg,17257-2299,40.057405,-77.5229,0.831302421,20,981,6246,23152,16750
Hillsdale Free Will Baptist College,Moore,73160,35.300757,-97.491107,0.53125,20,940,226,23151,10500
University of Minnesota-Morris,Morris,56267,45.589829,-95.901756,0.635856296,25,1148,1803,23135,12500
Northeastern Illinois University,Chicago,60625-4699,41.980567,-87.72013,0.57605985,19,890,8284,23095,11000
University of Oregon,Eugene,97403,44.044515,-123.07398,0.748958285,25,1116,20252,23055,17333.5
Tennessee Temple University,Winston Salem,27101,35.032456,-85.27742,0.581717452,21,962,496,23054,10500
University of Kansas,Lawrence,66045,38.958551,-95.247618,0.914187861,25,1145,18802,23049,14250
Bowling Green State University-Main Campus,Bowling Green,43403,41.377036,-83.637531,0.533668757,22,1012,13697,22998,19000
University of Missouri-Columbia,Columbia,65211,38.941015,-92.326429,0.776685725,26,1166,27276,22943,17188
Colorado State University-Fort Collins,Fort Collins,80523-0100,40.574759,-105.08083,0.804803362,25,1128,22373,22929,16500
Paine College,Augusta,30901-3182,33.469259,-81.991199,0.218118467,16,760,841,22884,13814.5
Purdue University-Main Campus,West Lafayette,47907-2040,40.428206,-86.914435,0.592891518,27,1213,29977,22879,19500
University of Washington-Bothell Campus,Bothell,98011-8246,47.760718,-122.191454,0.57967328,21,1206,4378,22747,14000
The King's University,Southlake,76092,32.93935,-97.121771,1,21,1016,473,22740,10084
University of Houston,Houston,77204-2018,29.719988,-95.344851,0.629905355,25,1139,31643,22713,14750
The University of Texas at Dallas,Richardson,75080-3021,32.989432,-96.748371,0.619380411,28,1259,14300,22713,14000
Indiana University of Pennsylvania-Main Campus,Indiana,15705-1098,40.615589,-79.159869,0.94733836,20,958,12032,22692,20500
SUNY at Binghamton,Vestal,13850-6000,42.088049,-75.971143,0.440563854,29,1287,13372,22688,17000
Sonoma State University,Rohnert Park,94928-3609,38.341023,-122.673261,0.80018008,21,984,8441,22604,14000
James Madison University,Harrisonburg,22807,38.435332,-78.871663,0.657339246,26,1153,18697,22601,18000
Western Connecticut State University,Danbury,06810-6826,41.400365,-73.444264,0.400254823,21,981,5206,22558,16500
Stephen F Austin State University,Nacogdoches,75961,31.58562,-94.58546,0.585081366,22,998,10692,22544,15500
University of Arkansas at Little Rock,Little Rock,72204,34.726644,-92.341835,0.592804112,23,1048,7942,22521,12500
Western Washington University,Bellingham,98225-9008,48.737236,-122.484873,0.845665051,25,1110,14054,22458,15000
University of Mississippi,University,38677-1848,34.362144,-89.539377,0.812185579,24,1098,17809,22444,15000
University of Montevallo,Montevallo,35115-6000,33.10625,-86.865099,0.742998353,23,1070,2644,22440,15110
SUNY Maritime College,Throggs Neck,10465-4198,40.809048,-73.800336,0.526462396,24,1106,1624,22429,20755
University of Minnesota-Crookston,Crookston,56716-5001,47.802021,-96.609863,0.719565217,22,1006,1876,22394,13000
University of Louisville,Louisville,40292-0001,38.215752,-85.758843,0.738589212,25,1144,15038,22389,12571
Morrisville State College,Morrisville,13408,42.89432,-75.645231,0.561888454,21,895,2728,22386,12000
Bob Jones University,Greenville,29614-0001,34.87402,-82.36329,0.810114504,23,1052,2553,22343,12000
Arizona State University-Tempe,Tempe,85287,33.422247,-111.934629,0.784430512,25,1135,39316,22312,15034.5
Humboldt State University,Arcata,95521-8299,40.8741,-124.0814,0.765530557,21,986,7962,22287,14200
The Evergreen State College,Olympia,98505-0001,47.07382,-122.977492,0.988989637,23,1043,3802,22281,14500
Southern Illinois University-Edwardsville,Edwardsville,62026-1259,38.793949,-89.997779,0.869633922,23,1070,11371,22219,14250
University of Maine,Orono,4469,44.895129,-68.67358,0.82574446,24,1078,8682,22193,17236
Texas Southern University,Houston,77004,29.722468,-95.361961,0.519236475,17,812,6880,22183,14750
University of Missouri-St Louis,Saint Louis,63121-4400,38.711297,-90.308886,0.757767549,24,1105,8936,22165,16522
University of Washington-Tacoma Campus,Tacoma,98402-3100,47.244967,-122.437499,0.57967328,21,1206,3788,22120,14000
Framingham State University,Framingham,01701-9101,42.297289,-71.437175,0.622648752,22,1011,4329,22097,15704
University of Southern Maine,Portland,4103,43.662637,-70.276002,0.83946046,22,998,5783,22083,15362
Massachusetts Maritime Academy,Buzzards Bay,02532-1803,41.740538,-70.623953,0.616049383,23,1105,1395,22073,23250
Louisiana College,Pineville,71359,31.322286,-92.425567,0.610630408,21,990,957,22060,12000
North Carolina State University at Raleigh,Raleigh,27695-7001,35.785111,-78.674517,0.515971237,28,1253,22925,22046,17750
Western Michigan University,Kalamazoo,49008-5200,42.282589,-85.61512,0.840591091,22,1030,18450,22013,20066
University at Buffalo,Buffalo,14260-1660,43.001433,-78.790103,0.578061663,27,1165,19488,21996,15000
Western Oregon University,Monmouth,97361-1394,44.851866,-123.238785,0.887426394,21,1001,4923,21996,16009.5
Adventist University of Health Sciences,Orlando,32803,28.576142,-81.367687,1,20,928,1870,21994,16000
University of Georgia,Athens,30602,33.956428,-83.374049,0.557175638,28,1248,26738,21981,17179.5
Towson University,Towson,21252-0001,39.393008,-76.612268,0.592147348,23,1082,18546,21973,15000
SUNY at Albany,Albany,12222,42.686917,-73.825014,0.558400368,24,1098,12659,21968,16250
SUNY College of Technology at Alfred,Alfred,14802,42.258723,-77.791073,0.542426251,22,982,3607,21952,12000
East Stroudsburg University of Pennsylvania,East Stroudsburg,18301-2999,40.99622,-75.172614,0.814648997,20,954,6125,21947,15750
Kennesaw State University,Kennesaw,30144-5591,34.03629,-84.58083,0.534481274,23,1076,23058,21945,14250
University of Maryland-Baltimore County,Baltimore,21250,39.256686,-76.711607,0.596065381,27,1213,11274,21941,17175
Georgia Southern University,Statesboro,30460-8126,32.427756,-81.782201,0.630953611,24,1099,17232,21932,16500
Grand Valley State University,Allendale,49401-9403,42.965208,-85.887519,0.804334952,24,1089,21561,21907,19500
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,70803-2750,30.414983,-91.178921,0.766344994,26,1161,24452,21846,13258
Central Michigan University,Mount Pleasant,48859,43.591137,-84.775275,0.692740175,23,1050,20297,21828,21500
East Tennessee State University,Johnson City,37614,36.304077,-82.366734,0.917364813,22,1030,11162,21826,13109
Pennsylvania State University-Penn State Shenango,Sharon,16146,41.234852,-80.508204,0.626517667,20,1089,468,21818,20950
Clarion University of Pennsylvania,Clarion,16214,41.209676,-79.374775,0.927083333,19,928,4744,21814,17569
Ball State University,Muncie,47306,40.198942,-85.408863,0.598773955,22,1066,15895,21807,18477
Missouri University of Science and Technology,Rolla,65409,37.955853,-91.7759,0.858540677,29,1283,6418,21798,19500
Coastal Carolina University,Conway,29526,33.794722,-79.012635,0.635988918,21,996,9058,21781,14000
Lander University,Greenwood,29649-2099,34.201143,-82.166351,0.577792778,20,936,2670,21777,16500
University of Akron Main Campus,Akron,44325-4702,41.077768,-81.510328,0.957052407,23,1050,18148,21772,15000
University of South Carolina-Upstate,Spartanburg,29303-4999,34.996403,-81.970583,0.468173999,20,947,5056,21759,15000
Slippery Rock University of Pennsylvania,Slippery Rock,16057-1383,41.060814,-80.051814,0.65974026,22,999,7529,21741,19500
California State University-Chico,Chico,95929-0150,39.728003,-121.846333,0.709560363,22,996,15844,21715,14500
Grambling State University,Grambling,71245,32.522702,-92.717367,0.439530062,18,868,3520,21692,24012.5
Fort Lewis College,Durango,81301-3999,37.275428,-107.867003,0.908159082,22,1020,3609,21691,10000
Cleveland State University,Cleveland,44115-2214,41.502918,-81.673052,0.842063175,22,1014,11308,21684,14250
SUNY College at Oswego,Oswego,13126,43.453047,-76.543885,0.483669026,24,1106,7102,21673,17738.5
Morgan State University,Baltimore,21251-0001,39.344235,-76.584238,0.652454243,18,874,6239,21666,22177.5
Bloomsburg University of Pennsylvania,Bloomsburg,17815,41.007989,-76.446383,0.878124067,20,970,9109,21631,19000
University of Illinois at Springfield,Springfield,62703-5407,39.729862,-89.614917,0.615753425,24,1081,2969,21630,14765.5
Oklahoma State University-Main Campus,Stillwater,74078-1015,36.123085,-97.069743,0.74949017,25,1137,20636,21629,14500
Central Baptist College,Conway,72034,35.084574,-92.444102,0.569672131,21,985,788,21616,10487
The University of Texas at Arlington,Arlington,76013,32.728437,-97.115087,0.613958028,23,1053,29616,21594,12500
SUNY College at Geneseo,Geneseo,14454-1465,42.796864,-77.821999,0.591295003,27,1221,5497,21589,17500
Mississippi State University,Mississippi State,39762,33.454809,-88.788979,0.710198774,25,1126,15800,21581,15250
Arizona State University-Polytechnic,Mesa,85212,33.307114,-111.685485,0.784430512,25,1135,3726,21578,15034.5
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,12043,42.67257,-74.498247,0.733354572,19,877,2512,21571,11000
SUNY Oneonta,Oneonta,13820-4015,42.466555,-75.064186,0.498791645,24,1086,5803,21555,19500
University of North Carolina School of the Arts,Winston-Salem,27127-2738,36.07482,-80.236625,0.43202765,24,1116,852,21554,19750
Martin Luther College,New Ulm,56073-3965,44.3046,-94.473422,0.973214286,25,1125,744,21524,15750
Central Washington University,Ellensburg,98926-7501,47.004957,-120.537716,0.864563107,21,978,9751,21512,15000
University of Memphis,Memphis,38152,35.118874,-89.938062,0.473963398,22,1029,16093,21492,18000
University of Toledo,Toledo,43606-3390,41.65795,-83.615225,0.947277275,22,1031,15182,21480,13637
Alabama A & M University,Normal,35762,34.783368,-86.568502,0.525603474,17,827,4206,21475,15000
University of Maryland Eastern Shore,Princess Anne,21853-1299,38.211188,-75.687227,0.612653948,17,842,3441,21472,16000
Piedmont International University,Winston-Salem,27101-5025,36.088839,-80.249121,0.460674157,20,937,190,21468,8250
Tennessee Technological University,Cookeville,38505-0001,36.174659,-85.503957,0.944129201,24,1105,10039,21411,10250
Florida State University,Tallahassee,32306-1037,30.4421,-84.294801,0.553855812,28,1228,32432,21408,18750
Alice Lloyd College,Pippa Passes,41844,37.335087,-82.875068,0.361650485,22,1008,657,21391,7550
Stony Brook University,Stony Brook,11794,40.913138,-73.123595,0.413418758,28,1254,16170,21358,16000
University of Nebraska-Lincoln,Lincoln,68588,40.822272,-96.702177,0.698946481,25,1146,19979,21286,14707.5
SUNY at Fredonia,Fredonia,14063-1136,42.450961,-79.336109,0.532239541,24,1056,4900,21269,18500
Castleton University,Castleton,5735,43.607982,-73.181486,0.916419387,20,967,1890,21255,19500
Texas Tech University,Lubbock,79409-5005,33.580309,-101.876917,0.661271888,25,1110,28278,21239,16500
Ferris State University,Big Rapids,49307-2251,43.687464,-85.483509,0.784193363,22,1010,12632,21215,17000
Alcorn State University,Alcorn State,39096-7500,31.877216,-91.142854,0.784408085,18,872,3006,21116,19431.5
San Jose State University,San Jose,95192-0001,37.335201,-121.881214,0.598459883,22,1038,26528,21112,12500
University of Alabama in Huntsville,Huntsville,35899,34.722818,-86.63842,0.820342205,27,1219,5451,21107,15750
Pennsylvania State University-Penn State Wilkes-Barre,Lehman,18627,41.306529,-76.017242,0.626517667,19,1089,493,21102,20950
Wayne State University,Detroit,48202,42.35861,-83.072864,0.773260103,23,1070,17242,21021,15000
Pennsylvania State University-Penn State DuBois,DuBois,15801-2549,41.126941,-78.751784,0.626517667,20,1089,490,21000,20950
Texas A & M University-College Station,College Station,77843-1248,30.613226,-96.340322,0.710251631,27,1206,46941,20998,15500
South Dakota School of Mines and Technology,Rapid City,57701-3995,44.075439,-103.205753,0.880181347,26,1181,2336,20994,14200
Old Dominion University,Norfolk,23529,36.884919,-76.309653,0.818906233,21,1007,19842,20966,16719
State University of New York at New Paltz,New Paltz,12561-2443,41.737205,-74.088727,0.419277284,25,1122,6464,20939,16500
SUNY Polytechnic Institute,Utica,13502,43.13528,-75.2292,0.561029738,25,1099,1890,20924,12275
Johnson State College,Johnson,05656-9464,44.641736,-72.671154,0.954643629,22,941,1363,20913,18077
Jacksonville State University,Jacksonville,36265,33.822128,-85.766644,0.83260357,23,1041,7060,20830,15871
Lock Haven University,Lock Haven,17745-2390,41.142097,-77.463565,0.933934808,20,947,4448,20824,19387
Davis College,Johnson City,13790-2712,42.101092,-75.962421,0.477941176,20,954,252,20802,12000
SUNY College at Plattsburgh,Plattsburgh,12901-2681,44.691103,-73.467342,0.47858495,23,1031,5430,20791,18000
Johnson University,Knoxville,37998,35.937152,-83.750336,0.513513514,22,1017,886,20772,13626
Virginia State University,Petersburg,23806,37.236453,-77.419886,0.8006078,17,837,4481,20767,18500
University of Wisconsin-Milwaukee,Milwaukee,53201-0413,43.076848,-87.880488,0.895500186,22,1010,21577,20715,15750
Mansfield University of Pennsylvania,Mansfield,16933,41.806975,-77.074178,0.907024793,20,950,2518,20711,19000
East Carolina University,Greenville,27858-4353,35.606347,-77.366199,0.772832736,22,1036,21207,20710,17500
University of Iowa,Iowa City,52242-1316,41.660695,-91.535698,0.809478358,26,1164,21486,20691,17750
University of Nevada-Reno,Reno,89557,39.545052,-119.818424,0.838768116,24,1081,16330,20675,11250
San Diego State University,San Diego,92182,32.77525,-117.071228,0.344776093,25,1115,27824,20631,13997
University of Alabama at Birmingham,Birmingham,35294-0110,33.50223,-86.80917,0.856917688,24,1107,11383,20621,14382
Delaware State University,Dover,19901,39.187173,-75.54053,0.437352246,19,894,3654,20587,17500
Radford University,Radford,24142,37.136914,-80.549731,0.789065529,20,968,8843,20582,15000
Winona State University,Winona,55987-5838,44.04585,-91.644838,0.630370475,23,1050,7944,20574,18000
Johnson University Florida,Kissimmee,34744,28.301869,-81.362512,0.513513514,20,1017,220,20568,13626
Massachusetts College of Liberal Arts,North Adams,01247-4100,42.692427,-73.1035,0.722652469,21,977,1517,20552,17930
Central Connecticut State University,New Britain,6050,41.690258,-72.770094,0.604429218,22,1015,9600,20543,16574.5
Westfield State University,Westfield,01086-1630,42.131589,-72.795673,0.745631068,21,997,5429,20536,15251
Tougaloo College,Tougaloo,39174,32.402719,-90.159405,0.402979224,18,864,895,20503,22000
Salem State University,Salem,1970,42.502879,-70.889321,0.705656022,21,984,7180,20484,19000
Fort Valley State University,Fort Valley,31030-4313,32.538163,-83.895548,0.241921005,18,873,2172,20479,21500
Millersville University of Pennsylvania,Millersville,17551-0302,39.99813,-76.355091,0.687095731,21,1012,7070,20437,17750
Eastern Oregon University,La Grande,97850,45.320392,-118.09384,0.641830065,21,948,2997,20421,14000
Oregon Institute of Technology,Klamath Falls,97601-8801,42.257152,-121.785177,0.598406375,24,1044,3457,20395,17333
University of South Carolina-Beaufort,Bluffton,29909,32.303308,-80.973595,0.572446556,20,933,1790,20389,10000
Lyndon State College,Lyndonville,05851-0919,44.53433,-72.024563,0.991438356,19,937,1266,20369,14500
Eastern Washington University,Cheney,99004-2496,47.491293,-117.589371,0.743934229,20,958,12402,20365,15000
University of Arkansas,Fayetteville,72701,36.06153,-94.178214,0.620364517,26,1155,21405,20350,14250
Portland State University,Portland,97201,45.511229,-122.683553,0.693328852,22,1030,19662,20318,16900
Glenville State College,Glenville,26351-1292,38.935341,-80.833597,0.465583913,19,900,1378,20317,12000
University of West Georgia,Carrollton,30118-0001,33.574421,-85.099007,0.486146416,20,950,9982,20310,13504
University of North Dakota,Grand Forks,58202-8193,47.919774,-97.073451,0.859974149,24,1090,10978,20306,16993
University of North Carolina Wilmington,Wilmington,28403-5963,34.225223,-77.875527,0.585524603,24,1145,12686,20292,16096
Arizona State University-West,Glendale,85306,33.6096,-112.161271,0.784430512,24,1135,3280,20252,15034.5
SUNY College at Brockport,Brockport,14420-2919,43.209862,-77.949824,0.489507626,23,1056,6951,20224,16500
Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,15456-0519,39.946471,-79.655871,0.626517667,21,1089,666,20148,20950
Pennsylvania State University-Penn State New Kensington,New Kensington,15068-1765,40.55382,-79.703269,0.626517667,20,1089,627,20140,20950
University of North Florida,Jacksonville,32224-7699,30.270917,-81.507853,0.60570199,24,1133,13884,20102,12500
The University of Virginia's College at Wise,Wise,24293-4400,36.971468,-82.558728,0.688230009,20,946,1477,20095,12000
University of Florida,Gainesville,32611,29.649428,-82.339958,0.455243856,29,1273,31879,20085,14000
Pennsylvania State University-Penn State Worthington Scranton,Dunmore,18512-1602,41.440258,-75.620583,0.626517667,20,1089,1073,20069,20950
Frostburg State University,Frostburg,21532-1099,39.651509,-78.933871,0.585136406,20,967,4765,20046,15020
Edinboro University of Pennsylvania,Edinboro,16444-0001,41.869978,-80.126363,0.993000318,19,928,5494,20026,18000
San Francisco State University,San Francisco,94132,37.721345,-122.477905,0.659731565,21,990,25170,19998,14479
Armstrong State University,Savannah,31419-1997,31.978109,-81.160409,0.6803311,22,1006,6162,19983,12672
Pennsylvania State University-Penn State Brandywine,Media,19063-5522,39.928355,-75.447825,0.626517667,22,1089,1334,19966,20950
Mount Carmel College of Nursing,Columbus,43222-1504,39.957008,-83.021152,0.738888889,22,1030,926,19939,18750
Pennsylvania State University-Penn State York,York,17403-3326,39.952327,-76.702835,0.626517667,22,1089,948,19907,20950
Indiana State University,Terre Haute,47809,39.46873,-87.407085,0.825368627,19,913,10497,19897,11640.5
Pennsylvania State University-Penn State Lehigh Valley,Center Valley,18034-8447,40.557651,-75.401798,0.626517667,22,1089,775,19896,20950
Bridgewater State University,Bridgewater,2325,41.987785,-70.966058,0.79306777,22,991,9500,19877,18250
Indiana University-Purdue University-Indianapolis,Indianapolis,46202-5143,39.772948,-86.172217,0.704876161,22,1010,21777,19875,14600
New College of Florida,Sarasota,34243-2109,27.384925,-82.55858,0.598726115,28,1274,834,19858,11000
Valdosta State University,Valdosta,31698,30.849236,-83.289925,0.541367238,22,1018,9235,19838,16250
Jackson State University,Jackson,39217,32.296781,-90.20663,0.704724409,19,911,7160,19803,21000
University of Nebraska at Kearney,Kearney,68849-1212,40.700787,-99.098237,0.841093865,23,1049,5081,19797,12500
University of South Carolina-Aiken,Aiken,29801,33.572917,-81.767901,0.654614653,21,970,3023,19759,13000
University of Central Florida,Orlando,32816,28.60106,-81.198805,0.496087401,26,1185,52280,19752,14750
Midwestern Baptist Theological Seminary,Kansas City,64118-4697,39.185691,-94.573185,0.763636364,20,970,346,19733,7750
Pennsylvania State University-Penn State Abington,Abington,19001-3918,40.116995,-75.110661,0.626517667,21,1089,3505,19724,20950
Sam Houston State University,Huntsville,77340,30.7247,-95.5519,0.736675749,21,1000,16819,19721,15940
